,block,house_dec,house_eleva,house_size,house_type,price,title
0,荣祥花园,精装,有电梯,65.97,2室1厅,115.0,经十西路 世购   两室  免高税
1,经七路,精装,无电梯,59.26,2室1厅,108.0,精装婚房+送家具家电+全明户型+交通便利位置好
2,机车新村四街,简装,无电梯,63.69,2室1厅,110.0,机车新村四街 大厂单位宿舍 两室朝阳 客厅方正
3,明星小区北区,简装,无电梯,49.45,3室0厅,86.0,明星小区  一楼带院 小院改成卧室   南北通透
4,匡山小区,简装,无电梯,80.72,2室2厅,135.0,匡山小区 南北通透 客厅带窗户 中间楼层 有地下室
5,匡山小区,其他,无电梯,74.21,2室1厅,123.0,匡山小区 经典两居 中楼层 户型好用 随时可看
6,阳光100国际新城F区,简装,有电梯,120.87,3室2厅,240.0,阳光100+南北通透+房产证满五唯一+配套设施全齐
7,泉城花园,简装,有电梯,87.11,2室2厅,146.0,电梯，两室两厅，双气，两室朝阳，可贷款，视野开阔。
8,绿地泉景园,其他,有电梯,86.44,2室2厅,135.0,两室朝南 全明户型  有车位 有地下室
9,匡山小区,简装,无电梯,84.62,2室2厅,132.0,匡山小区 两居室 南北卧室 客厅带窗 独立大院
10,荣祥花园,精装,有电梯,106.11,2室2厅,158.0,经十西路 腊山 成熟小区 交通便利
11,连城水岸,精装,有电梯,132.23,3室2厅,236.0,连城水岸  南北通透  高档精装修 苗圃公园  单价低
12,卢浮公馆,其他,有电梯,97.72,2室2厅,210.0,卢浮公馆！两室两厅！采光好！业主诚心出售！
13,鑫苑世家公馆,毛坯,有电梯,92.31,3室2厅,155.0,南北通透小三室，中间楼层采光充足视野好，上学方便
14,匡山小区,简装,无电梯,62.15,2室1厅,92.0,匡山小区 2室1厅 南北通透！户型采光佳！
15,桃园小区北区,简装,无电梯,66.27,2室2厅,100.0,配套  小区比较成熟 离世购比较近  没物业费 停车费
16,匡山小区,其他,无电梯,51.49,1室2厅,82.0,匡山小区 低楼层 南北通透 交通便利 适合过渡 有钥匙
17,美里新居,精装,无电梯,105.99,2室2厅,137.7,美里新居 复式 双气 采光充足 花园式小区
18,闫千户小区五区,简装,,65.76,2室1厅,100.0,正规两室一厅+客厅带窗+有钥匙随时看房
19,南辛庄北街,其他,无电梯,86.32,3室1厅,160.0,南辛庄北街  双气  三室  非顶   和谐商圈
20,香桔市,精装,有电梯,72.57,2室2厅,138.0,香桔市、精装修、两室两厅、南北通透、楼层好
21,纬十路,其他,无电梯,118.96,4室0厅,170.0,四室南北通透，双气纬十路经六路，近省立医院和谐广场
22,阳光100国际新城G区,精装,有电梯,116.23,2室2厅,229.5,此房南北通透， 采光充足，视野宽阔。
23,新世界阳光花园东区,精装,无电梯,112.73,2室2厅,272.0,和谐广场经七路新世界，满五唯一，有地下室！
24,阳光100国际新城G区,精装,有电梯,133.39,3室2厅,230.0,真实房源 和谐广场南邻 阳光100精装三居室  拎包即住
25,老屯铁路小区,简装,无电梯,62.09,2室1厅,90.0,张庄路 老屯铁路小区 双气 两室朝阳 看房方便
26,匡山小区,精装,有电梯,67.57,2室1厅,113.0,匡山琪鑫苑 精装电梯房 两室一厅 送地下室 随时可看
27,美里新居,简装,无电梯,57.67,2室1厅,95.0,美里新居 双南向两室 户型方正 带产权地下室 双气
28,经四路384号,简装,,63.82,2室1厅,120.0,可以当做三室用 可以两室一厅 楼层三楼
29,匡山小区,其他,无电梯,64.98,2室1厅,110.0,匡山小区 中间楼层 两室一厅 经典边户 南北通透
30,绿地中央广场四区,其他,,90.21,2室2厅,143.0,精装两室，阳台双层玻璃，地砖美缝，采光好，交通方便
31,凯旋新城西区,简装,有电梯,107.5,2室2厅,198.0,凯旋新城西区 中间楼层  南北通透 电梯双气
32,外海西子城市花园,其他,无电梯,136.84,3室2厅,235.0,花园洋房+标准三室南北通透 双气客厅落地窗+带地下室
33,阳光100国际新城C区,简装,有电梯,123.69,3室2厅,235.0,满五唯一免双税 三室精装修，基本没住过，居住舒适
34,小槐荫街9宿舍,简装,无电梯,121.93,5室2厅,152.0,机车大厂宿舍 上下复式 四室朝阳 南北通透 送地下室
35,明星小区北区,其他,无电梯,103.43,2室2厅,145.0,明星小区润华集团单位宿舍 带15平产权地下室 全明户型
36,绿地中央广场二区,毛坯,,91.71,2室1厅,138.0,双卧加客厅朝南 采光充足 小区环境优美 业主诚售
37,老屯铁路小区,简装,无电梯,69.35,2室1厅,99.0,老屯铁路小区 中间楼层 采光充足 视野开阔
38,荣祥花园,简装,无电梯,85.19,2室2厅,133.0,荣祥花园 花园式小区 成熟社区 户型方正
39,泉城花园,精装,有电梯,92.72,2室2厅,166.0,泉城花园东排好位置 小区中间位置  有证可贷款
40,群盛华城,精装,有电梯,95.66,2室2厅,182.0,西市场 电梯房 房龄新 精装修 双气
41,老屯铁路小区,其他,无电梯,67.01,2室1厅,106.0,老屯铁路小区 两室一厅 双气 小房 南北通透 非顶
42,美里新居,其他,无电梯,60.47,1室2厅,95.0,美里新居 一室两厅 双气 低楼层 出行方便 花园式小区
43,公交花园,其他,无电梯,168.76,4室2厅,200.0,世购 经十路 单位宿舍  双气 带地下室 复式有产权
44,汇馨祥和苑,简装,无电梯,56.69,2室1厅,97.0,汇馨祥和苑 此房证满五唯一 双气 全明户型 看房方便
45,新世界阳光花园东区,精装,无电梯,113.27,2室2厅,280.0,新世界阳光花园 多层房屋 和谐广场 经七路
46,桃园小区北区,简装,无电梯,59.71,2室1厅,95.0,经十路 世购 桃园小区北区  两室一厅
47,泉城花园,简装,有电梯,94.24,2室2厅,155.0,泉城花园南北通透 两居室 双气中楼层带地下室
48,绿地国际花都,毛坯,有电梯,104.47,3室2厅,178.0,刘长山路 绿地国际花都 全明三室 南北通透 交通方便
49,新世界阳光花园西区,简装,无电梯,141.94,3室2厅,360.0,花园式小区 房产证满五年   中间楼层
50,阳光100国际新城G区,精装,有电梯,93.36,2室1厅,202.0,阳光100国际新城G区南向两室精装修好房诚意出售
51,世佳戎居,简装,有电梯,90.98,2室2厅,162.0,世佳戎居 军区大院 二环内电梯房 有产权地下室和车位
52,公交花园,其他,有电梯,170.0,4室2厅,200.0,世购 单位宿舍  双气 带地下室 复式有产权
53,外海西子城市花园,简装,无电梯,137.24,3室2厅,223.0,花园洋房通透三室、格局合理无浪费、低公摊采光好
54,德裕家园一区,其他,有电梯,133.1,3室2厅,240.0,双气三室德裕家园，南北通透钥匙房！近省立医院五院！
55,匡山小区,其他,无电梯,77.52,2室2厅,121.0,匡山小区 两室两厅  户型方正  带装修
56,怡心苑,简装,无电梯,98.0,3室2厅,185.0,和谐广场南，南北通透，一梯两户，全明户型，带地下室
57,阳光100国际新城D区,其他,有电梯,227.14,6室2厅,475.0,阳光100复式带电梯，送30平露台，二层平顶，南北通透
58,匡山小区,其他,无电梯,54.97,2室1厅,103.0,匡山小区 中楼层 格局方正 两居 视野宽阔 采光好
59,匡山小区,其他,无电梯,119.48,3室2厅,180.0,匡山小区 三居 双气 户型方正 采光充足 独立大院
